cluster_id,level,level_name,domain,math_concept,apl_code,difficulty,x_coord,y_coord,z_coord,color_parity
math_l1_x3y2_f5,1,Elementary Arithmetic,subtraction,Subtracting negatives: a - (-b) = a + b,-/⍳5  ⍝ Alternating sum,elementary,3,2,1,0
math_l1_x3y2_f6,1,Elementary Arithmetic,subtraction,Regrouping in column subtraction,7 - 3  ⍝ Subtraction,elementary,3,2,1,0
math_l1_x3y2_f7,1,Elementary Arithmetic,subtraction,Word problems with subtraction,10 9 8 - 1 2 3  ⍝ Vector subtraction,elementary,3,2,1,0
math_l1_x3y2_f8,1,Elementary Arithmetic,subtraction,Subtracting decimals,-/⍳5  ⍝ Alternating sum,elementary,3,2,1,0
math_l1_x3y2_f9,1,Elementary Arithmetic,subtraction,Relationship to addition: a - b = a + (-b),7 - 3  ⍝ Subtraction,elementary,3,2,1,0
math_l1_x3y2_f10,1,Elementary Arithmetic,subtraction,Zero minus anything is negative,10 9 8 - 1 2 3  ⍝ Vector subtraction,elementary,3,2,1,0
math_l1_x4y2_f1,1,Elementary Arithmetic,multiplication,Multiplication is commutative: a × b = b × a,×/⍳5  ⍝ Product of first 5 numbers,elementary,4,2,1,1
math_l1_x4y2_f2,1,Elementary Arithmetic,multiplication,Multiplication is associative: (a × b) × c = a × (b × c),2 × ⍳10  ⍝ Multiply each by 2,elementary,4,2,1,1
math_l1_x4y2_f3,1,Elementary Arithmetic,multiplication,Multiplicative identity: a × 1 = a,3 × 4  ⍝ Multiplication,elementary,4,2,1,1
math_l1_x4y2_f4,1,Elementary Arithmetic,multiplication,Multiplicative inverse: a × (1/a) = 1 for a ≠ 0,2 3 4 × 5 6 7  ⍝ Vector multiplication,elementary,4,2,1,1
math_l1_x4y2_f5,1,Elementary Arithmetic,multiplication,Zero times anything is zero,×/⍳5  ⍝ Product of first 5 numbers,elementary,4,2,1,1
math_l1_x4y2_f6,1,Elementary Arithmetic,multiplication,Distributive property: a × (b + c) = a×b + a×c,2 × ⍳10  ⍝ Multiply each by 2,elementary,4,2,1,1
math_l1_x4y2_f7,1,Elementary Arithmetic,multiplication,Multiplying fractions: (a/b) × (c/d) = (a×c)/(b×d),3 × 4  ⍝ Multiplication,elementary,4,2,1,1
math_l1_x4y2_f8,1,Elementary Arithmetic,multiplication,Multiplying decimals,2 3 4 × 5 6 7  ⍝ Vector multiplication,elementary,4,2,1,1
math_l1_x4y2_f9,1,Elementary Arithmetic,multiplication,Times tables are multiplication facts,×/⍳5  ⍝ Product of first 5 numbers,elementary,4,2,1,1
math_l1_x4y2_f10,1,Elementary Arithmetic,multiplication,Multiplication of negatives,2 × ⍳10  ⍝ Multiply each by 2,elementary,4,2,1,1
math_l1_x5y2_f1,1,Elementary Arithmetic,division,Division is not commutative: a ÷ b ≠ b ÷ a,10 20 30 ÷ 2 4 5  ⍝ Vector division,elementary,5,2,1,0
math_l1_x5y2_f2,1,Elementary Arithmetic,division,Division by zero is undefined,÷/⍳4  ⍝ Reciprocal product,elementary,5,2,1,0
math_l1_x5y2_f3,1,Elementary Arithmetic,division,Division is the inverse of multiplication,8 ÷ 2  ⍝ Division,elementary,5,2,1,0
math_l1_x5y2_f4,1,Elementary Arithmetic,division,Dividing fractions: (a/b) ÷ (c/d) = (a/b) × (d/c),10 20 30 ÷ 2 4 5  ⍝ Vector division,elementary,5,2,1,0
math_l1_x5y2_f5,1,Elementary Arithmetic,division,Long division algorithm,÷/⍳4  ⍝ Reciprocal product,elementary,5,2,1,0
math_l1_x5y2_f6,1,Elementary Arithmetic,division,Remainder in division,8 ÷ 2  ⍝ Division,elementary,5,2,1,0
math_l1_x5y2_f7,1,Elementary Arithmetic,division,Dividing decimals,10 20 30 ÷ 2 4 5  ⍝ Vector division,elementary,5,2,1,0
math_l1_x5y2_f8,1,Elementary Arithmetic,division,Relationship to fractions,÷/⍳4  ⍝ Reciprocal product,elementary,5,2,1,0
math_l1_x5y2_f9,1,Elementary Arithmetic,division,Division of negatives,8 ÷ 2  ⍝ Division,elementary,5,2,1,0
math_l1_x5y2_f10,1,Elementary Arithmetic,division,Rational numbers from division,10 20 30 ÷ 2 4 5  ⍝ Vector division,elementary,5,2,1,0
math_l1_x6y2_f1,1,Elementary Arithmetic,numbers,"Natural numbers: 1, 2, 3, ...",,elementary,6,2,1,1
math_l1_x6y2_f2,1,Elementary Arithmetic,numbers,"Whole numbers: 0, 1, 2, 3, ...",,elementary,6,2,1,1
math_l1_x6y2_f3,1,Elementary Arithmetic,numbers,"Integers: ..., -2, -1, 0, 1, 2, ...",,elementary,6,2,1,1
math_l1_x6y2_f4,1,Elementary Arithmetic,numbers,Rational numbers: fractions a/b where b ≠ 0,,elementary,6,2,1,1
math_l1_x6y2_f5,1,Elementary Arithmetic,numbers,"Irrational numbers: π, e, √2",,elementary,6,2,1,1
math_l1_x6y2_f6,1,Elementary Arithmetic,numbers,Real numbers: all rational and irrational numbers,,elementary,6,2,1,1
math_l1_x6y2_f7,1,Elementary Arithmetic,numbers,Complex numbers: a + bi where i² = -1,,elementary,6,2,1,1
math_l1_x6y2_f8,1,Elementary Arithmetic,numbers,Zero is neither positive nor negative,,elementary,6,2,1,1
math_l1_x6y2_f9,1,Elementary Arithmetic,numbers,One is the multiplicative identity,,elementary,6,2,1,1
math_l1_x6y2_f10,1,Elementary Arithmetic,numbers,Numbers can be prime or composite,,elementary,6,2,1,1
math_l1_x7y2_f1,1,Elementary Arithmetic,addition,Addition is commutative: a + b = b + a,+/⍳10  ⍝ Sum of first 10 numbers,elementary,7,2,1,0
math_l1_x7y2_f2,1,Elementary Arithmetic,addition,Addition is associative: (a + b) + c = a + (b + c),2 + ⍳10  ⍝ Add 2 to each of first 10 numbers,elementary,7,2,1,0
math_l1_x7y2_f3,1,Elementary Arithmetic,addition,Additive identity: a + 0 = a,2 + 3  ⍝ Addition,elementary,7,2,1,0
math_l1_x7y2_f4,1,Elementary Arithmetic,addition,Additive inverse: a + (-a) = 0,1 2 3 + 4 5 6  ⍝ Vector addition,elementary,7,2,1,0
math_l1_x7y2_f5,1,Elementary Arithmetic,addition,Carrying over in addition,+/⍳10  ⍝ Sum of first 10 numbers,elementary,7,2,1,0
math_l1_x7y2_f6,1,Elementary Arithmetic,addition,Regrouping in column addition,2 + ⍳10  ⍝ Add 2 to each of first 10 numbers,elementary,7,2,1,0
math_l1_x7y2_f7,1,Elementary Arithmetic,addition,Adding fractions requires common denominators,2 + 3  ⍝ Addition,elementary,7,2,1,0
math_l1_x7y2_f8,1,Elementary Arithmetic,addition,Adding decimals aligns decimal points,1 2 3 + 4 5 6  ⍝ Vector addition,elementary,7,2,1,0
math_l1_x7y2_f9,1,Elementary Arithmetic,addition,Word problems involve addition,+/⍳10  ⍝ Sum of first 10 numbers,elementary,7,2,1,0
math_l1_x7y2_f10,1,Elementary Arithmetic,addition,Addition of negative numbers,2 + ⍳10  ⍝ Add 2 to each of first 10 numbers,elementary,7,2,1,0
math_l1_x8y2_f1,1,Elementary Arithmetic,subtraction,Subtraction is not commutative: a - b ≠ b - a,10 9 8 - 1 2 3  ⍝ Vector subtraction,elementary,8,2,1,1
math_l1_x8y2_f2,1,Elementary Arithmetic,subtraction,Subtraction is the inverse of addition,-/⍳5  ⍝ Alternating sum,elementary,8,2,1,1
math_l1_x8y2_f3,1,Elementary Arithmetic,subtraction,Borrowing in subtraction,7 - 3  ⍝ Subtraction,elementary,8,2,1,1
math_l1_x8y2_f4,1,Elementary Arithmetic,subtraction,Subtracting fractions requires common denominators,10 9 8 - 1 2 3  ⍝ Vector subtraction,elementary,8,2,1,1
math_l1_x8y2_f5,1,Elementary Arithmetic,subtraction,Subtracting negatives: a - (-b) = a + b,-/⍳5  ⍝ Alternating sum,elementary,8,2,1,1
math_l1_x8y2_f6,1,Elementary Arithmetic,subtraction,Regrouping in column subtraction,7 - 3  ⍝ Subtraction,elementary,8,2,1,1
math_l1_x8y2_f7,1,Elementary Arithmetic,subtraction,Word problems with subtraction,10 9 8 - 1 2 3  ⍝ Vector subtraction,elementary,8,2,1,1
math_l1_x8y2_f8,1,Elementary Arithmetic,subtraction,Subtracting decimals,-/⍳5  ⍝ Alternating sum,elementary,8,2,1,1
math_l1_x8y2_f9,1,Elementary Arithmetic,subtraction,Relationship to addition: a - b = a + (-b),7 - 3  ⍝ Subtraction,elementary,8,2,1,1
math_l1_x8y2_f10,1,Elementary Arithmetic,subtraction,Zero minus anything is negative,10 9 8 - 1 2 3  ⍝ Vector subtraction,elementary,8,2,1,1
math_l1_x1y3_f1,1,Elementary Arithmetic,numbers,"Natural numbers: 1, 2, 3, ...",,elementary,1,3,1,1
math_l1_x1y3_f2,1,Elementary Arithmetic,numbers,"Whole numbers: 0, 1, 2, 3, ...",,elementary,1,3,1,1
math_l1_x1y3_f3,1,Elementary Arithmetic,numbers,"Integers: ..., -2, -1, 0, 1, 2, ...",,elementary,1,3,1,1
math_l1_x1y3_f4,1,Elementary Arithmetic,numbers,Rational numbers: fractions a/b where b ≠ 0,,elementary,1,3,1,1
math_l1_x1y3_f5,1,Elementary Arithmetic,numbers,"Irrational numbers: π, e, √2",,elementary,1,3,1,1
math_l1_x1y3_f6,1,Elementary Arithmetic,numbers,Real numbers: all rational and irrational numbers,,elementary,1,3,1,1
math_l1_x1y3_f7,1,Elementary Arithmetic,numbers,Complex numbers: a + bi where i² = -1,,elementary,1,3,1,1
math_l1_x1y3_f8,1,Elementary Arithmetic,numbers,Zero is neither positive nor negative,,elementary,1,3,1,1
math_l1_x1y3_f9,1,Elementary Arithmetic,numbers,One is the multiplicative identity,,elementary,1,3,1,1
math_l1_x1y3_f10,1,Elementary Arithmetic,numbers,Numbers can be prime or composite,,elementary,1,3,1,1
math_l1_x2y3_f1,1,Elementary Arithmetic,addition,Addition is commutative: a + b = b + a,2 + 3  ⍝ Addition,elementary,2,3,1,0
math_l1_x2y3_f2,1,Elementary Arithmetic,addition,Addition is associative: (a + b) + c = a + (b + c),1 2 3 + 4 5 6  ⍝ Vector addition,elementary,2,3,1,0
math_l1_x2y3_f3,1,Elementary Arithmetic,addition,Additive identity: a + 0 = a,+/⍳10  ⍝ Sum of first 10 numbers,elementary,2,3,1,0
math_l1_x2y3_f4,1,Elementary Arithmetic,addition,Additive inverse: a + (-a) = 0,2 + ⍳10  ⍝ Add 2 to each of first 10 numbers,elementary,2,3,1,0
math_l1_x2y3_f5,1,Elementary Arithmetic,addition,Carrying over in addition,2 + 3  ⍝ Addition,elementary,2,3,1,0
math_l1_x2y3_f6,1,Elementary Arithmetic,addition,Regrouping in column addition,1 2 3 + 4 5 6  ⍝ Vector addition,elementary,2,3,1,0
math_l1_x2y3_f7,1,Elementary Arithmetic,addition,Adding fractions requires common denominators,+/⍳10  ⍝ Sum of first 10 numbers,elementary,2,3,1,0
math_l1_x2y3_f8,1,Elementary Arithmetic,addition,Adding decimals aligns decimal points,2 + ⍳10  ⍝ Add 2 to each of first 10 numbers,elementary,2,3,1,0
math_l1_x2y3_f9,1,Elementary Arithmetic,addition,Word problems involve addition,2 + 3  ⍝ Addition,elementary,2,3,1,0
math_l1_x2y3_f10,1,Elementary Arithmetic,addition,Addition of negative numbers,1 2 3 + 4 5 6  ⍝ Vector addition,elementary,2,3,1,0
math_l1_x3y3_f1,1,Elementary Arithmetic,subtraction,Subtraction is not commutative: a - b ≠ b - a,-/⍳5  ⍝ Alternating sum,elementary,3,3,1,1
math_l1_x3y3_f2,1,Elementary Arithmetic,subtraction,Subtraction is the inverse of addition,7 - 3  ⍝ Subtraction,elementary,3,3,1,1
math_l1_x3y3_f3,1,Elementary Arithmetic,subtraction,Borrowing in subtraction,10 9 8 - 1 2 3  ⍝ Vector subtraction,elementary,3,3,1,1
math_l1_x3y3_f4,1,Elementary Arithmetic,subtraction,Subtracting fractions requires common denominators,-/⍳5  ⍝ Alternating sum,elementary,3,3,1,1
math_l1_x3y3_f5,1,Elementary Arithmetic,subtraction,Subtracting negatives: a - (-b) = a + b,7 - 3  ⍝ Subtraction,elementary,3,3,1,1
math_l1_x3y3_f6,1,Elementary Arithmetic,subtraction,Regrouping in column subtraction,10 9 8 - 1 2 3  ⍝ Vector subtraction,elementary,3,3,1,1
math_l1_x3y3_f7,1,Elementary Arithmetic,subtraction,Word problems with subtraction,-/⍳5  ⍝ Alternating sum,elementary,3,3,1,1
math_l1_x3y3_f8,1,Elementary Arithmetic,subtraction,Subtracting decimals,7 - 3  ⍝ Subtraction,elementary,3,3,1,1
